iSemana;cRetrabalho;nCdSetor;nCdEquipamento;nCdTurno;nCdProcedimento;nCdAtividade;nCdOrdemProducao;nCdProdutoProcesso;nCdProdutoFinal;iSeqAtividade;nCdProdutoPedido;iItemMetodo;cNmMetodo;cLinhaProducao;cCdRastreabilidade;iQtdeApontamentoAtividade;nMedidaOrdemProducao;iQtdeMaoObra;nTempoMetodo;nTempoImprodutivo;nTempoRetrabalho;nTempoSemMetodo;nTempoOcioso;nQtdeMetodo;nPesoLiquidoEntrada_prod;nValorArredondado;cObservacao;nCdSeqProdutivaFormula;cNmSeqProdutivaFormula;iVersaoSeqProdutivaFormula;nCdSeqProdutivaRoteiro;cNmSeqProdutivaFormulaRoteiro;iVersaoSeqProdutivaRoteiro;iPecaEntrada;nPesoLiquidoEntrada_cep;nMedidaEntrada;nCdProduto;Verifica_Formula_LAB_382;Verifica_Roteiros_LAB_382;nCdAtividadeMedicao_1306;nCdAtividadeMedicao_1317;nCdAtividadeMedicao_1340;nCdAtividadeMedicao_1355;nCdAtividadeMedicao_1356;nCdAtividadeMedicao_1427;nCdAtividadeMedicao_1428;nCdAtividadeMedicao_1441;nCdAtividadeMedicao_1444;cObservacao_origem;nCdEquipamento_origem;cNmLinhaProducao;nCdLinhaProducao;nPeca;nMedida;FlorSolta;Qtd_Flor_Solta;nCdLocalEstoque
51;0;202;1495;97.0;9;197;123906;587368;587368;1;587368;1;FORA DE METODO;870 - COURO - PRODUÇÃO;05167GQ;129;7354.697;0;0.0;3512.0;0.0;0.0;0.0;1.0;934.0;934.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123780;1495;CMG - CONTROLE SEMI;870;257.0;7326.192;False;0.0;[3956]
51;0;202;1495;97.0;9;197;123908;587368;587368;1;587368;1;FORA DE METODO;870 - COURO - PRODUÇÃO;05171GQ;140;7459.029;0;0.0;2169.0;0.0;0.0;0.0;1.0;1001.0;1001.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123805;1495;CMG - CONTROLE SEMI;870;279.0;7432.39;True;33.0;[3956]
51;0;202;1495;97.0;9;197;123909;587368;587368;1;587368;1;FORA DE METODO;870 - COURO - PRODUÇÃO;05166GQ;131;7501.72;0;0.0;1491.0;0.0;0.0;0.0;1.0;993.0;993.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123779;1495;CMG - CONTROLE SEMI;870;264.0;7558.987;True;3.0;[3956]
51;0;202;1495;97.0;9;197;123911;587368;587368;1;587368;1;FORA DE METODO;870 - COURO - PRODUÇÃO;05156GQ;141;7513.034;0;0.0;1798.0;0.0;0.0;0.0;1.0;944.0;944.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123748;1495;CMG - CONTROLE SEMI;870;280.0;7459.749999999999;True;11.0;[3956]
51;0;202;1495;97.0;9;197;123986;587368;587368;1;587368;1;FORA DE METODO;870 - COURO - PRODUÇÃO;05179GQ;132;7533.75;0;0.0;3207.0;0.0;0.0;0.0;1.0;982.0;982.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123833;1495;CMG - CONTROLE SEMI;870;265.0;7562.287;False;0.0;[3956]
51;0;202;1495;97.0;9;197;123990;587368;587368;1;587368;1;FORA DE METODO;870 - COURO - PRODUÇÃO;05180GQ;140;7507.0;0;2.0;0.0;0.0;0.0;88.0;1.0;961.0;961.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123831;1495;CMG - CONTROLE SEMI;870;280.0;7507.0;True;12.0;[3956]
51;0;172;1512;40.0;178;369;123988;587368;587368;3;587368;25;CMG- ESTIRAR COURO AUTOMOTIVO COM 320 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05170GQ;68;3631.079;5;1.0;0.0;0.0;0.0;1.23;1.41;974.5;974.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123829;1495;CMG - CONTROLE SEMI;870;280.0;7475.749;True;4.0;[3956]
51;0;172;1512;40.0;178;369;123989;587368;587368;3;587368;25;CMG- ESTIRAR COURO AUTOMOTIVO COM 320 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05181GQ;140;0.0;10;2.0;0.0;0.0;0.0;19.29;2.82;1992.0;1992.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123830;1495;CMG - CONTROLE SEMI;870;280.0;7411.0;True;10.0;[3956]
51;0;172;1512;40.0;178;369;123990;587368;587368;3;587368;25;CMG- ESTIRAR COURO AUTOMOTIVO COM 320 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05180GQ;140;7507.0;5;1.0;0.0;0.0;0.0;4.29;1.41;961.0;961.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123831;1495;CMG - CONTROLE SEMI;870;280.0;7507.0;True;12.0;[3956]
51;0;172;1512;40.0;178;369;123992;587368;587368;3;587368;25;CMG- ESTIRAR COURO AUTOMOTIVO COM 320 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05194GQ;131;7478.085;5;1.0;0.0;0.0;0.0;9.91;1.41;972.5;972.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123868;1495;CMG - CONTROLE SEMI;870;261.0;7449.543000000001;True;12.0;[3956]
51;0;172;1512;40.0;178;369;123995;587368;587368;3;587368;25;CMG- ESTIRAR COURO AUTOMOTIVO COM 320 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05196GQ;110;6758.25;5;1.0;0.99;0.0;0.0;0.0;1.41;900.0;900.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123891;1495;CMG - CONTROLE SEMI;870;220.0;6758.25;True;1.0;[3956]
